,Age,CustTenure,Channel,Occupation,EducationField,Gender,ExistingProdType,Designation,NumberOfPolicy,MaritalStatus,MonthlyIncome,ExistingPolicyTenure,Zone,PaymentMethod,AgentBonus_Per_Policy,SumAssured_Per_Policy
43,4.0,16.0,Third Party Partner,Small Business,Under Graduate,Female,3,Senior Manager,2.0,Divorced,22918,6.0,West,Half Yearly,1948.0,299996
44,15.0,11.0,Third Party Partner,Small Business,Diploma,Female,3,Senior Manager,3.0,Single,23789,5.0,North,Half Yearly,1268.6666666666667,246137
45,4.0,4.0,Agent,Small Business,Under Graduate,Male,4,Executive,2.0,Unmarried,17389,3.0,West,Yearly,2173.5,217362
46,10.0,6.0,Agent,Salaried,Graduate,Female,4,Executive,2.0,Single,18212,6.0,West,Yearly,1001.5,184305
47,27.0,9.0,Agent,Large Business,Engineer,Male,3,VP,2.0,Divorced,34232,9.0,West,Half Yearly,2225.0,378263
48,16.0,24.0,Agent,Small Business,Under Graduate,Male,3,Executive,3.0,Divorced,17267,4.0,West,Half Yearly,1323.6666666666667,141647
49,23.0,30.0,Agent,Small Business,Under Graduate,Female,3,VP,2.0,Married,34517,30.0,North,Half Yearly,3797.0,653061
50,17.0,17.0,Agent,Small Business,Under Graduate,Male,3,Executive,2.0,Divorced,17436,4.0,West,Half Yearly,1395.0,244104
51,37.0,31.0,Agent,Small Business,Diploma,Female,3,AVP,2.0,Divorced,22688,3.0,North,Half Yearly,3106.5,388300
52,4.0,4.0,Agent,Salaried,Graduate,Female,3,Executive,5.0,Divorced,17707,1.0,West,Half Yearly,425.0,60770
53,33.0,27.0,Online,Salaried,Graduate,Male,4,VP,3.0,Single,34068,27.0,North,Yearly,1817.0,188964
54,19.0,10.0,Agent,Salaried,Graduate,Female,3,Executive,4.0,Divorced,18931,3.0,West,Half Yearly,804.5,120685
55,8.0,2.0,Agent,Salaried,Graduate,Male,4,Executive,3.0,Single,18730,2.0,North,Yearly,686.6666666666666,81725
56,12.0,3.0,Agent,Small Business,Under Graduate,Female,3,Executive,3.0,Married,17232,1.0,North,Half Yearly,1034.0,175994
57,12.0,10.0,Online,Small Business,Diploma,Male,3,Manager,2.0,Divorced,19465,6.0,North,Half Yearly,973.5,105111
58,15.0,1.0,Agent,Salaried,Graduate,Male,3,Manager,5.0,Married,18072,1.0,West,Half Yearly,506.0,72360
59,8.0,4.0,Agent,Large Business,Engineer,Male,3,Manager,2.0,Married,18319,4.0,North,Half Yearly,1923.5,226972
60,14.0,10.0,Agent,Salaried,Post Graduate,Male,2,VP,2.0,Divorced,34202,10.0,North,Quarterly,1710.0,210342
61,10.0,31.0,Third Party Partner,Small Business,Under Graduate,Male,3,Senior Manager,3.0,Married,28675,8.0,North,Half Yearly,1720.6666666666667,242590
62,5.0,1.0,Agent,Salaried,Graduate,Female,4,Executive,2.0,Divorced,17911,1.0,North,Yearly,1343.5,146422
63,19.0,24.0,Agent,Salaried,Graduate,Male,4,Manager,5.0,Divorced,20957,8.0,West,Yearly,964.0,176416
64,14.0,9.0,Agent,Small Business,Under Graduate,Female,4,Executive,5.0,Divorced,18920,5.0,West,Yearly,908.2,95356
65,15.0,12.0,Third Party Partner,Salaried,Graduate,Male,2,Manager,3.0,Divorced,21434,1.0,North,Quarterly,1286.0,199336
66,13.0,38.0,Third Party Partner,Small Business,Under Graduate,Male,3,Senior Manager,3.0,Married,25048,6.0,North,Half Yearly,2087.3333333333335,281790
67,17.0,3.0,Third Party Partner,Large Business,Engineer,Female,3,Senior Manager,3.0,Single,25938,3.0,North,Half Yearly,951.0,174995
68,2.0,2.0,Agent,Salaried,Graduate,Male,3,Executive,2.0,Unmarried,17340,1.0,West,Half Yearly,953.5,111583
69,12.0,2.0,Agent,Salaried,Graduate,Female,2,Manager,5.0,Single,21545,4.0,West,Quarterly,474.0,84370
70,5.0,3.0,Agent,Small Business,Diploma,Male,3,Manager,2.0,Married,21931,2.0,West,Half Yearly,1316.0,247381
71,10.0,10.0,Agent,Salaried,Graduate,Female,3,Manager,3.0,Divorced,19898,1.0,North,Half Yearly,862.3333333333334,90536
72,4.0,4.0,Agent,Small Business,Under Graduate,Female,4,Executive,5.0,Married,17593,3.0,West,Yearly,351.8,59816
73,19.0,8.0,Agent,Small Business,Under Graduate,Male,3,VP,3.0,Married,34436,8.0,West,Half Yearly,1262.6666666666667,152781
74,4.0,4.0,Agent,Salaried,Graduate,Male,3,Executive,2.0,Divorced,17723,1.0,North,Half Yearly,975.0,192028
75,5.0,1.0,Third Party Partner,Small Business,Under Graduate,Male,4,Executive,4.0,Single,18479,1.0,North,Yearly,646.75,115771
76,25.0,1.0,Third Party Partner,Salaried,Graduate,Male,2,Executive,4.0,Divorced,17794,1.0,North,Quarterly,1023.25,195422
77,15.0,15.0,Online,Salaried,Graduate,Male,4,Manager,2.0,Divorced,20249,9.0,West,Yearly,1518.5,209577
78,19.0,3.0,Agent,Large Business,Engineer,Male,4,Manager,5.0,Unmarried,17176,4.0,West,Yearly,618.4,175994
79,13.0,16.0,Agent,Large Business,Engineer,Female,5,AVP,4.0,Divorced,22269,5.0,North,Yearly,796.75,95616
80,14.0,1.0,Agent,Salaried,Graduate,Male,3,Executive,3.0,Single,18485,1.0,North,Half Yearly,1540.3333333333333,191011
81,22.0,22.0,Agent,Small Business,Under Graduate,Male,4,Manager,4.0,Divorced,21644,1.0,North,Yearly,1352.75,250258
82,21.0,5.0,Agent,Small Business,Under Graduate,Male,4,Manager,2.0,Divorced,20582,6.0,North,Yearly,2573.0,463095
83,11.0,4.0,Online,Salaried,Graduate,Male,2,Manager,5.0,Married,19000,4.0,West,Quarterly,722.0,105412
84,15.0,15.0,Agent,Small Business,Under Graduate,Male,3,AVP,2.0,Divorced,28496,2.0,North,Half Yearly,2422.0,474743
85,4.0,1.0,Agent,Salaried,Graduate,Male,3,Executive,2.0,Divorced,18210,1.0,West,Half Yearly,2094.0,301557
86,15.0,15.0,Agent,Small Business,Under Graduate,Male,3,VP,5.0,Single,34045,15.0,West,Half Yearly,1498.0,260648
87,24.0,12.0,Online,Salaried,Graduate,Male,3,Senior Manager,4.0,Divorced,26849,2.0,West,Half Yearly,1476.75,147669
88,2.0,2.0,Agent,Small Business,Under Graduate,Male,3,Executive,2.0,Divorced,17070,1.0,North,Half Yearly,939.0,175994
89,12.0,8.0,Agent,Small Business,Under Graduate,Male,3,Manager,2.0,Divorced,21502,1.0,North,Half Yearly,1935.0,348332
90,26.0,8.0,Agent,Small Business,Under Graduate,Male,4,Executive,3.0,Single,18230,8.0,North,Yearly,1458.3333333333333,263970
91,17.0,17.0,Online,Small Business,Under Graduate,Female,3,Senior Manager,2.0,Married,28603,1.0,East,Half Yearly,1716.0,211090
92,15.0,4.0,Agent,Salaried,Graduate,Female,2,Senior Manager,4.0,Married,26996,6.0,North,Quarterly,944.75,183302
93,5.0,2.0,Agent,Small Business,Under Graduate,Female,2,Manager,5.0,Married,20605,4.0,West,Quarterly,494.6,63298
94,10.0,6.0,Third Party Partner,Salaried,Graduate,Female,3,Manager,4.0,Married,21397,8.0,West,Half Yearly,802.5,109124
95,29.0,29.0,Agent,Salaried,Graduate,Male,3,VP,4.0,Married,34144,29.0,North,Half Yearly,1451.0,268457
96,47.0,39.0,Agent,Small Business,Under Graduate,Male,3,AVP,4.0,Divorced,32584,39.0,West,Half Yearly,1955.0,272589
97,30.0,30.0,Agent,Salaried,Graduate,Male,3,Manager,3.0,Divorced,19907,12.0,West,Half Yearly,1659.0,316853
98,13.0,5.0,Third Party Partner,Salaried,Graduate,Male,3,Manager,2.0,Single,19554,3.0,West,Half Yearly,1271.0,240221
99,31.0,26.0,Agent,Large Business,Engineer,Male,3,Manager,2.0,Divorced,20415,6.0,West,Half Yearly,2552.0,308777
100,28.0,28.0,Third Party Partner,Small Business,Under Graduate,Male,3,Manager,5.0,Divorced,19741,5.0,West,Half Yearly,947.6,115603
101,10.0,2.0,Agent,Salaried,Graduate,Female,3,Executive,2.0,Unmarried,17115,5.0,West,Half Yearly,1027.0,175994
102,3.0,3.0,Third Party Partner,Salaried,Graduate,Male,3,Executive,3.0,Married,18161,3.0,West,Half Yearly,968.6666666666666,193717
103,7.0,19.0,Agent,Salaried,Graduate,Male,3,Manager,2.0,Married,20745,2.0,West,Half Yearly,1867.0,321132
104,3.0,3.0,Agent,Small Business,Under Graduate,Male,3,Executive,4.0,Married,17373,2.0,West,Half Yearly,651.5,78830
105,4.0,5.0,Agent,Salaried,Graduate,Female,3,Executive,2.0,Single,18310,5.0,North,Half Yearly,1098.5,218621
106,28.0,28.0,Third Party Partner,Salaried,Graduate,Female,3,VP,5.0,Single,33665,28.0,West,Half Yearly,1414.0,229056
107,9.0,5.0,Agent,Large Business,Engineer,Male,3,Manager,4.0,Single,19485,7.0,East,Half Yearly,1169.0,208099
108,8.0,4.0,Third Party Partner,Small Business,Diploma,Female,3,Executive,4.0,Married,17789,4.0,West,Half Yearly,667.0,96060
109,2.0,5.0,Agent,Small Business,Diploma,Male,4,Manager,2.0,Single,20828,5.0,West,Yearly,1249.5,173705
110,7.0,7.0,Third Party Partner,Small Business,Under Graduate,Male,3,Executive,2.0,Divorced,17326,3.0,West,Half Yearly,1213.0,174646
111,20.0,24.0,Third Party Partner,Small Business,Diploma,Female,3,AVP,4.0,Divorced,28525,5.0,North,Half Yearly,998.5,110819
112,3.0,10.0,Agent,Salaried,Graduate,Male,3,Executive,3.0,Single,16420,2.0,West,Half Yearly,1149.3333333333333,174989
113,24.0,10.0,Agent,Small Business,Diploma,Male,3,Senior Manager,4.0,Divorced,23020,4.0,North,Half Yearly,1208.5,134149
114,8.0,24.0,Third Party Partner,Salaried,Graduate,Male,2,Executive,2.0,Divorced,18688,6.0,West,Quarterly,1962.0,325732
115,4.0,25.0,Agent,Small Business,Under Graduate,Male,5,Manager,4.0,Married,20482,1.0,West,Yearly,1024.0,115723
116,20.0,24.0,Agent,Salaried,Graduate,Male,3,AVP,4.0,Single,22510,3.0,West,Half Yearly,1008.0,132046
117,16.0,19.0,Agent,Small Business,Under Graduate,Female,4,Executive,3.0,Single,16200,12.0,North,Yearly,1296.0,174960
118,14.0,7.0,Agent,Small Business,Under Graduate,Male,2,Manager,5.0,Single,20661,4.0,North,Quarterly,702.4,120123
119,23.0,5.0,Agent,Large Business,Engineer,Male,2,Manager,2.0,Divorced,21929,2.0,North,Quarterly,2302.5,248675
120,6.0,31.0,Agent,Small Business,Under Graduate,Male,2,Senior Manager,2.0,Married,24613,2.0,West,Quarterly,3076.5,332275
121,12.0,14.0,Online,Salaried,Graduate,Female,3,Manager,4.0,Divorced,20674,1.0,West,Half Yearly,723.5,128075
122,3.0,14.0,Agent,Salaried,Graduate,Male,4,Manager,3.0,Divorced,20484,1.0,North,Yearly,1160.6666666666667,169471
123,6.0,13.0,Agent,Salaried,Graduate,Female,4,Senior Manager,4.0,Divorced,27061,8.0,West,Yearly,1623.75,264656
124,6.0,6.0,Online,Salaried,Graduate,Male,5,Manager,3.0,Married,20660,2.0,West,Yearly,688.6666666666666,121894
125,17.0,17.0,Agent,Large Business,Engineer,Male,3,Executive,2.0,Divorced,19821,9.0,West,Half Yearly,2180.5,335767
126,26.0,13.0,Agent,Salaried,MBA,Male,4,Manager,5.0,Divorced,21410,5.0,North,Yearly,856.4,147300
127,9.0,28.0,Third Party Partner,Salaried,Graduate,Male,3,Senior Manager,5.0,Married,20210,6.0,North,Half Yearly,929.6,160831
128,8.0,8.0,Agent,Salaried,Graduate,Male,3,Executive,2.0,Married,17695,1.0,West,Half Yearly,1415.5,155716
129,10.0,10.0,Third Party Partner,Salaried,Graduate,Female,3,Senior Manager,4.0,Divorced,26878,1.0,North,Half Yearly,1209.5,189893
130,46.0,23.0,Agent,Small Business,Under Graduate,Male,3,AVP,5.0,Divorced,24525,3.0,West,Half Yearly,1539.2,178554
131,17.0,17.0,Third Party Partner,Salaried,Graduate,Female,3,Executive,2.0,Unmarried,17455,6.0,West,Half Yearly,1396.5,146622
132,29.0,43.0,Agent,Large Business,Engineer,Female,4,AVP,3.0,Single,28964,9.0,West,Yearly,2413.6666666666665,393427
133,3.0,20.0,Agent,Small Business,Under Graduate,Male,4,Manager,4.0,Divorced,19941,1.0,West,Yearly,847.5,100004
134,22.0,22.0,Agent,Salaried,Graduate,Female,3,Executive,4.0,Unmarried,17478,7.0,West,Half Yearly,1092.5,131085
135,10.0,17.0,Agent,Large Business,Engineer,Female,4,Manager,4.0,Divorced,20228,1.0,North,Yearly,859.75,114338
136,4.0,4.0,Agent,Salaried,Graduate,Male,3,Manager,3.0,Single,19478,1.0,North,Half Yearly,1493.3333333333333,243410
137,3.0,3.0,Agent,Small Business,Diploma,Male,3,Manager,2.0,Married,22547,3.0,North,Half Yearly,1578.5,202021
138,7.0,18.0,Agent,Small Business,Under Graduate,Female,2,Manager,2.0,Single,20055,4.0,North,Quarterly,1805.0,207569
139,4.0,4.0,Agent,Small Business,Under Graduate,Male,5,Executive,2.0,Divorced,18464,4.0,West,Yearly,923.0,102475
140,17.0,3.0,Agent,Small Business,Under Graduate,Female,3,Manager,2.0,Divorced,20775,3.0,North,Half Yearly,1454.5,210866
141,18.0,12.0,Third Party Partner,Salaried,Graduate,Female,4,Senior Manager,3.0,Divorced,23943,2.0,West,Yearly,1995.3333333333333,225463
142,14.0,36.0,Third Party Partner,Small Business,Under Graduate,Male,4,VP,2.0,Divorced,34272,36.0,West,Yearly,3598.5,557777
143,25.0,30.0,Agent,Small Business,Under Graduate,Female,3,Manager,3.0,Divorced,20238,3.0,West,Half Yearly,1686.6666666666667,271526
144,25.0,4.0,Third Party Partner,Small Business,Diploma,Male,4,Manager,2.0,Single,19682,4.0,West,Yearly,2066.5,365790
145,16.0,21.0,Agent,Salaried,Graduate,Male,3,VP,3.0,Divorced,33300,21.0,West,Half Yearly,1776.0,300144
146,9.0,3.0,Third Party Partner,Salaried,Graduate,Female,4,Manager,3.0,Married,20257,4.0,West,Yearly,945.3333333333334,106822
147,5.0,10.0,Online,Small Business,Diploma,Male,3,Manager,4.0,Divorced,21349,2.0,North,Half Yearly,640.5,68530
148,14.0,6.0,Third Party Partner,Salaried,Graduate,Female,3,Manager,3.0,Single,19869,4.0,West,Half Yearly,927.3333333333334,119611
149,6.0,6.0,Agent,Salaried,Graduate,Female,3,Senior Manager,5.0,Divorced,24985,1.0,West,Half Yearly,1249.2,227363
150,7.0,10.0,Agent,Salaried,Post Graduate,Male,3,Manager,2.0,Divorced,18697,6.0,North,Half Yearly,1682.5,282698
151,2.0,7.0,Agent,Small Business,Under Graduate,Male,5,Manager,2.0,Divorced,22457,2.0,West,Yearly,1235.0,233440
152,9.0,4.0,Agent,Salaried,Post Graduate,Male,5,Executive,5.0,Divorced,17119,1.0,North,Yearly,376.6,175994
153,6.0,8.0,Agent,Salaried,Post Graduate,Male,4,Executive,2.0,Single,18983,1.0,East,Yearly,949.0,174643
154,8.0,8.0,Agent,Small Business,Diploma,Female,4,Manager,3.0,Married,21118,6.0,East,Yearly,704.0,130931
155,6.0,6.0,Agent,Small Business,Diploma,Female,3,Manager,4.0,Divorced,21214,1.0,West,Half Yearly,795.5,125693
156,3.0,15.0,Agent,Small Business,Under Graduate,Male,3,Manager,2.0,Married,21347,4.0,North,Half Yearly,1494.5,270466
157,5.0,14.0,Agent,Salaried,Graduate,Male,4,Senior Manager,2.0,Married,26510,1.0,North,Yearly,2253.5,340256
158,21.0,7.0,Agent,Small Business,Under Graduate,Female,3,Senior Manager,2.0,Single,22143,1.0,West,Half Yearly,1771.5,331259
159,10.0,10.0,Agent,Small Business,Diploma,Female,4,Manager,4.0,Married,23268,8.0,West,Yearly,639.75,123495
160,27.0,27.0,Agent,Large Business,Engineer,Male,3,Senior Manager,4.0,Single,23095,3.0,North,Half Yearly,1328.0,136780
161,18.0,2.0,Agent,Salaried,Graduate,Male,3,Executive,2.0,Married,17904,2.0,West,Half Yearly,1790.5,358080
162,20.0,20.0,Agent,Small Business,Under Graduate,Male,4,Manager,4.0,Single,21032,2.0,North,Yearly,999.0,130871
163,22.0,1.0,Third Party Partner,Small Business,Under Graduate,Male,3,Manager,3.0,Single,17976,1.0,West,Half Yearly,1198.3333333333333,159387
164,8.0,12.0,Agent,Salaried,Graduate,Female,3,AVP,2.0,Single,25403,2.0,West,Half Yearly,2014.5,394838
165,6.0,8.0,Online,Salaried,Graduate,Male,3,Manager,3.0,Divorced,19649,3.0,North,Half Yearly,655.0,111999
166,4.0,4.0,Agent,Large Business,Engineer,Male,3,Executive,3.0,Married,17696,1.0,West,Half Yearly,590.0,68424
167,3.0,3.0,Agent,Small Business,Under Graduate,Female,3,Executive,4.0,Divorced,17370,1.0,North,Half Yearly,434.25,53412
168,7.0,3.0,Agent,Small Business,Under Graduate,Female,3,Senior Manager,3.0,Divorced,27504,3.0,North,Half Yearly,1100.0,146321
169,17.0,17.0,Agent,Small Business,Under Graduate,Male,2,Manager,5.0,Married,20974,3.0,West,Quarterly,671.2,114098
170,12.0,4.0,Online,Large Business,Engineer,Female,3,Manager,3.0,Divorced,19736,2.0,West,Half Yearly,1381.6666666666667,205846
171,18.0,22.0,Agent,Salaried,Graduate,Male,3,Manager,3.0,Divorced,20296,1.0,West,Half Yearly,1217.6666666666667,205801
172,5.0,26.0,Agent,Salaried,Post Graduate,Male,4,Manager,2.0,Single,21781,6.0,North,Yearly,2613.5,389444
173,17.0,3.0,Third Party Partner,Large Business,Engineer,Female,4,Executive,4.0,Unmarried,17174,2.0,West,Yearly,858.75,175994
174,15.0,15.0,Online,Small Business,Under Graduate,Female,3,Manager,2.0,Single,21653,5.0,West,Half Yearly,2490.0,380984
175,30.0,30.0,Third Party Partner,Small Business,Under Graduate,Male,4,Senior Manager,2.0,Divorced,24699,5.0,West,Yearly,2470.0,479160
176,5.0,27.0,Agent,Small Business,Under Graduate,Male,3,Manager,3.0,Divorced,21755,7.0,West,Half Yearly,1813.0,281002
177,11.0,17.0,Agent,Salaried,Graduate,Female,2,Executive,3.0,Divorced,17213,1.0,West,Quarterly,918.0,175994
178,4.0,4.0,Online,Small Business,Under Graduate,Male,3,Executive,2.0,Unmarried,17610,1.0,West,Half Yearly,2113.0,310640
179,4.0,1.0,Agent,Small Business,Diploma,Female,3,Executive,3.0,Unmarried,17851,1.0,West,Half Yearly,595.0,69024
180,10.0,1.0,Agent,Small Business,Under Graduate,Female,3,Executive,5.0,Divorced,18452,1.0,North,Half Yearly,516.6,53732
181,10.0,5.0,Online,Small Business,Under Graduate,Female,3,Manager,3.0,Divorced,20258,1.0,East,Half Yearly,810.3333333333334,152340
182,26.0,20.0,Third Party Partner,Small Business,Diploma,Male,3,Manager,4.0,Single,24355,4.0,West,Half Yearly,1278.75,130421
183,23.0,19.0,Agent,Large Business,Engineer,Male,4,Senior Manager,2.0,Single,25496,5.0,North,Yearly,1912.0,206517
184,12.0,8.0,Agent,Small Business,Diploma,Male,4,Manager,3.0,Divorced,21380,8.0,North,Yearly,1282.6666666666667,173178
185,7.0,7.0,Agent,Salaried,Graduate,Male,4,Executive,4.0,Unmarried,17657,4.0,West,Yearly,618.0,93935
186,7.0,7.0,Agent,Salaried,Graduate,Female,2,Executive,4.0,Unmarried,17716,6.0,West,Quarterly,885.75,115154
187,25.0,21.0,Agent,Salaried,Graduate,Male,3,Executive,2.0,Unmarried,17201,1.0,West,Half Yearly,2064.0,175994
188,13.0,4.0,Agent,Salaried,Graduate,Male,4,Manager,4.0,Single,21540,4.0,North,Yearly,538.5,95853
189,2.0,4.0,Agent,Small Business,Under Graduate,Male,3,Executive,4.0,Married,18816,1.0,West,Half Yearly,470.5,58329
190,15.0,24.0,Agent,Salaried,Graduate,Male,3,Manager,2.0,Single,20253,15.0,North,Half Yearly,2430.5,418022
191,5.0,11.0,Agent,Salaried,Post Graduate,Male,4,Senior Manager,3.0,Single,25965,7.0,West,Yearly,1817.6666666666667,261727
192,8.0,8.0,Agent,Salaried,Graduate,Female,3,Manager,2.0,Divorced,19936,1.0,West,Half Yearly,1894.0,306815
193,7.0,7.0,Agent,Salaried,Graduate,Female,3,Executive,3.0,Divorced,17543,2.0,North,Half Yearly,1111.0,157770
194,18.0,12.0,Online,Small Business,Diploma,Male,2,Manager,2.0,Single,20304,2.0,North,Quarterly,1523.0,214715
195,40.0,40.0,Agent,Salaried,Graduate,Female,3,AVP,2.0,Single,24597,5.0,North,Half Yearly,3324.0,342392
196,2.0,12.0,Agent,Small Business,Diploma,Female,3,Manager,3.0,Married,19260,1.0,North,Half Yearly,642.0,95016
197,7.0,7.0,Agent,Large Business,Engineer,Male,3,Executive,4.0,Divorced,17476,1.0,North,Half Yearly,568.0,72700
198,13.0,5.0,Third Party Partner,Large Business,Engineer,Male,3,Executive,5.0,Single,18102,5.0,North,Half Yearly,506.8,60822
199,11.0,6.0,Agent,Small Business,Under Graduate,Female,3,Executive,4.0,Divorced,17244,1.0,West,Half Yearly,474.25,55956
200,8.0,4.0,Agent,Small Business,Under Graduate,Male,4,Senior Manager,3.0,Divorced,22596,2.0,North,Yearly,1355.6666666666667,227767
201,21.0,17.0,Third Party Partner,Large Business,Engineer,Male,3,Executive,2.0,Unmarried,17285,10.0,West,Half Yearly,2074.0,209494
202,13.0,10.0,Agent,Salaried,Graduate,Female,3,Executive,5.0,Married,18034,10.0,North,Half Yearly,649.2,106472
203,21.0,26.0,Agent,Small Business,Diploma,Female,3,Manager,4.0,Married,20715,1.0,West,Half Yearly,1294.75,132058
204,2.0,2.0,Agent,Salaried,Graduate,Female,3,Executive,5.0,Married,17576,1.0,North,Half Yearly,386.6,61867
205,10.0,24.0,Agent,Salaried,Graduate,Male,3,Manager,4.0,Single,19197,1.0,West,Half Yearly,1199.75,235163
